comment,price_value
قیمت مناسب وکیفیت خوب پیشنهادمیکنم حتما خرید کنید,1
به اندازه یک میلیمتر دورتادور گوشی خالی میماند که اگر قاب استفاده کنید پوشش کامل خواهد شد,0
از همه نظر عالی و یک خرید خوب در  قیمت حدود۴۰ تومن,1
"فقط یک بار هر یک ربع ساعت 1 درصد شارژ کرد بعدش دیگه کلا شارژ نکرد
",0
قیمت این کالا خیلی تغییر میکنه . من خریدم چندروز بعد قیمتش تغییر کرد. رنگش خیلی خوشرنگ هست بخصوص این شماره اش برای پوستهایی که کمی گندمی هست و می خوان روشن تر بشه مناسب هست,1
"چیزی که تو عکس میبینید نیست
سوکت ها از جنس پلاستیک و رنگ آمیزی ضعیف 
یه سوکتشم ک اصلا کج هست
رو بدنه سیم نوشته ساخت چین 
یه مدل دیگه کابل مثل همین بود قیمتش ۶۰ اینا، اما این کابل رو ۱۰۰ اینا زده بود گفتم شاید این اصلی باشه اما اینطور نبود",1
عالی بود هم راحت هم نرم و هم زیبا قیمت هم که عالی بود,0
هنوز استفاده نکردم ولی خیلی ریز و نرم هستش خیلی  عالی,0
چند هفته هست خریدم نسبت به تبلتهای موجود در بازار خریدش مقرون بصرفه هست، صفحه نمایش بزرگ و با کیفیت، سرعت بالا بدون هنگی، هم کارای کامپیوترو میشه انجام داد هم موبایل و هم مطالعه.,0
"برای مناطق سردسیر خیلی مناسب هستش چون دیگه هوای سرد به رادیاتور نمیخوره و در نتیجه بخاری ماشین به خوبه گرم میکنه
یا اگه مناطق معتدل هستین فقط برای زمستان استفاده کنید که خوبه برای بخاری
من چند وقته که گرفتم و ازش راضی هستم ",0
من استفاده کردم نسبت به قیمتش کیفیت خوبی داره,1
تاچ ضعیف میشه مجبور میشی بکنی. ولی پرایویسی واقعا کار میکنه. حیف چسبش خراب بود پولمو ریختم بیرون,1
خیلی با ترس گرفتم ولی واقعاً خوبو قشنگوراحته. البتع رنگای رو بولیز یه مقدار له قسمتای یفید رنگ میده ولی باید اروم با دست با آب خنک شست، قشنگ بود برا یلدا,0
سلام اندازه و ظاهرش خوب ولی جنس خود گیره بدردبخور نیست و اینکه موهارو خوب نمیگیره و زودهم میشکنه اگ حواستون نباشه,0
"از نمونه‌های مشابه در بازار ارزونتر هستش. 
کیفیتش فرقی نداره با جاهای دیگه",1
طعم خوبی داره، فقط قوامش کمتر از ماست یونانی هست که قبلاً گرفتم، به اصطلاع کمی شله ولی اصلا آب نیانداخت.,0
خوب بودممنون که براc7ام موجودکردیدتوبازارراحت پیدانمیشد.,0
"اسلایم یکم سفت بود ولی در کل خیلی خوب بود
",0
خیلی با کیفیت ساخته شده . جلوش سنگینتره و باعث میشه دست خسته نشه . جلوی عرق کردن دست و لیز خوردن مداد رو هم میگیره,0
خوبه به نسبت قیمتش خیلی خوشگل و خوش دوخت و خوش رنگ جنسشم خوبه,1
"بسیار شیک 
برای استفاده روی دیوار بسیار مناسبه",0
با اینکه یک نمونه غیر اصل است کاربردی و مقرون بصرفه است...,1
"خوب بود سه تا کلیپس
 کوچکتر از اون چیزی بود ک انتظار داشتم و ظریف تر ",0
سلام دوستان واقعا عالیه .دیگه خاکستر نمیبینید.قیمت خیلی خیلی مناسبی داره.,1
جنس معمولی و یکی از  رنگهاش  واقعا بی کیفیت و مثل کاغذ بود.,0
"من که راضیم 
نسبت به قیمت واقعا بصرفه است
ممنون بچه های دی جی
خدا قوت",0
قیمت دو برابر بازار البته من تازه کار هستم واسه همین این اشتباه رو کردم بگردید همین مدل شش تاییش نصف قیمت هست اشتباه من رو مرتکب نشین.ممنون از دی جی کالا,1
من چون خیلی خوشگل بودن خریدم، واقعا هم بسیار شیک و خوشگلن ، اما نقلی ان اگر دنبال سایز بزرگ و پیاله مانند هستید ،نگیریدش، نهایتا ۱/۵ قاشق غذاخوری مربا توش جا میشه، در واقع یکنفره هستند اما من  در مجموع از خریدشون راضی هستم.,0
"امیدوارم نظرم مفید باشه.من این دانگلو یه کامپیوتر با ویندوز 10 نسخه pro وصل کردم که بدون نیاز به نصب cd فورا شروع به کار کرد و تمامی شبکه های اطراف را شناسایی کرد.مودم من در فاصله ی 6 متری قرار داشت و دو دیوار هم سر راهش بود با این حال سرعت کامل و انتن فول رو به من داد و تست سرعت هم این موضوع رو تایید کرد.همچنین از این دانگل برای اشتراک گذاری فایل با شیرایت هم استفاده کردم که داده ها رو همان طور که ذکر شده با سرعن 150 مگابیت بر ثانیه منتقل کرد و از اون برای شبکه کردن لپ تاپ و کامپیوتر هم استفاده کردم که بدون قطعی و هیچ مشکلی این کار انجام شد.
این رو هم بگم که این دانگل نسبت به نمونه های میکرو و نانو عمر بالا تری دارد به خاطر دفع حرارت خوب و قطعات مورد استفاده در آن.
این دانگل همچنین از رابط های امنیتی نسل آخر بهره برده و دارای دکمه ی wps بر روی بدنه ی خود است که موجب اتصال آسان تر و سریع تر میشود.",0
"از شگفت انگیز خریدم، بیشتر از این هم قیمتش نمی ارزد. 
مشکل اصلیش اینه که سایزش درست نیست که فکر کنم به خاطر باریک بودن نوک کفشه.
رویشم سریع خط افتاد . و بی کیفیت بود",1
من واسه شیشه جلو دنا گرفتم خیلی شیک و خوشگل شد، بگیرید پشیمون نمیشید،,1
بسیار خوش بو  ...و با حجم کمی از این مایع   لباس ها خوب تمیز میشن,0
خیلی راحته. من قبلا ازاین مدل استفاده کردم خیلی راحت و ادم احساس راحتی میکنه.سایز بندیش مشکل داره من سایزم 75هستش 80 سفارش دادم بازم برام کوچیک بود ناراحت شدم. الان ی ماهه استفاده میکنم خراب شده نسبت به قیمتش ارزش خرید نداره.,1
یه چیز خوبه فقط واسه زاپاس مال بنده زود زود خراب میشه ,0
به قطرش دقت نکرده بودم سرش یکم بزرگ بود. چوب دسته اشم سوراخ بود. ولی کلا می ارزید با اون قیمت,1
جنسش خیلی خوب بود ولی هر دو باری که سفارش دادم سایز اشتباه ارسال شد که مرجوع کردم.,0
نیاز به توضیح نداره وقتی که اورژینال این کار قیمتش فضایی شده با این قیمت کپیش خوبه ولی توقع کیفیت اورژینال رو نداشته باشید,1
بسیار خوب و خوش قیمت راضی هستم پیشنهادم برای آقایون همین هست عید گرون تر میشه,1
"در کل خرید در شگفت انگیز خیلی با ارزش است و می ارزد 
با تشکر از دی جی کالا",1
نباید انتظار ماندگاری زیاد از عطر های خنک داشت با این وجود این عطر استثنایی و مصرف کننده رو راضی نگه میداره ، من کلا عطر های خنک رو دوست دارم. حتی تو این فصل ، قیمت دیجی کالا از بیرون ارزونتر هستش من از مغازه خریداری کردم بعد اینجا مناسب تر دیدمش,1
"من از پوشش دهی راضی بودم
ولی حجم اش کم بود ",0
"به لپ تابم خورد 
ولی کنار فلش بدون رنگ بود 
و با تصویر فرق داشت",0
راضی بودم قیمتشم نسبت به بیرون ارزون تر بود,1
تو شگفت انگیز تهیه کردم خوبه و ارزش خرید داره,1
سایزش استاندارد نبود سایز لارجش اندازه 2xl بود,0
سرخ کن خیلی خوبیه و راضیم بدون روغن کامل همه چیزو سرخ میکنه اما دی جی خیلی گرون تر از بازار میده من اینو تقریبا یک میلیون زیر قیمت دیجی خریدم,1
من هر نوع ماست یونانی رو امتحان گردم ولی این نمونه بهتره ولی حیف که هر روز گرونتر میشه توروخدا گرون نکنید دیگه بسه,1
"هنوز استفاده نکردم ولی قیمتش که خوبه
امروز استفاده کردم از گلریز انتظار چنین کیفیت پایینی رو نداشتم",1
به خواهرم هدیه دادم خیلی راضیه واسه تربیت فرزندان خوبه,0
